country,year,TAVG,PRCP
Afghanistan,1961,9.7,147.5
Afghanistan,1962,8.9,123.75
Afghanistan,1963,9.8,101.55
Afghanistan,1964,8.5,136.6
Afghanistan,1965,8.2,199.4666666666667
Afghanistan,1966,8.8,299.6
Afghanistan,1967,8.7,217.4
Afghanistan,1968,8.7,164.5
Afghanistan,1969,8.5,212.15
Afghanistan,1970,10.3,147.36666666666667
Afghanistan,1971,11.3,77.39999999999999
Afghanistan,1972,9.5,171.86666666666667
Afghanistan,1973,10.2,206.10000000000002
Afghanistan,1974,9.0,147.9
Afghanistan,1975,8.3,199.79999999999998
Afghanistan,1976,,176.0
Afghanistan,1977,9.8,241.79999999999998
Afghanistan,1978,9.2,194.79999999999998
Afghanistan,1979,10.0,193.5
Afghanistan,1980,10.6,161.79999999999998
Afghanistan,1981,9.9,234.83333333333334
Afghanistan,1982,9.0,133.36666666666667
Afghanistan,1983,9.7,169.8
Afghanistan,1984,10.2,215.0666666666667
Afghanistan,1985,10.2,150.2
Afghanistan,1986,9.5,160.66666666666666
Afghanistan,1987,9.1,370.9
Afghanistan,1988,10.1,209.6
Afghanistan,1989,8.3,176.43333333333337
Afghanistan,1990,10.6,157.83333333333334
Afghanistan,1991,9.2,414.8
Afghanistan,1992,9.1,264.4
Afghanistan,1993,9.1,358.3
Afghanistan,1994,9.5,
Afghanistan,1995,8.8,
Afghanistan,1996,9.6,
Afghanistan,1997,12.1,
Afghanistan,1998,10.6,
Afghanistan,1999,10.3,
Afghanistan,2000,9.7,
Afghanistan,2001,10.4,
Afghanistan,2002,9.8,
Afghanistan,2003,9.6,
Afghanistan,2004,9.5,
Afghanistan,2005,8.8,
Algeria,1961,20.424999999999997,196.875
Algeria,1962,20.25,230.3
Algeria,1963,20.7,227.45999999999998
Algeria,1964,20.275000000000002,291.03333333333336
Algeria,1965,19.35,96.0
Algeria,1966,20.4,92.39999999999999
Algeria,1967,19.32,19.5
Algeria,1968,20.525,298.3
Algeria,1969,20.925000000000004,281.85
Algeria,1970,20.6,199.525
Algeria,1971,20.1,249.66666666666666
Algeria,1972,20.175,375.43333333333334
Algeria,1973,19.46666666666667,8.333333333333334
Algeria,1974,19.65,212.875
Algeria,1975,19.925,192.875
Algeria,1976,19.775,96.5
Algeria,1977,20.775,175.79999999999998
Algeria,1978,20.325,243.16666666666666
Algeria,1979,20.333333333333332,85.5
Algeria,1980,20.4,265.2
Algeria,1981,21.333333333333332,123.55
Algeria,1982,20.375,259.3
Algeria,1983,20.725,95.95
Algeria,1984,20.225,237.6
Algeria,1985,20.725,197.95
Algeria,1986,20.675,216.85
Algeria,1987,21.625,137.975
Algeria,1988,21.450000000000003,280.1
Algeria,1989,21.25,113.26666666666667
Algeria,1990,21.400000000000002,145.8
Algeria,1991,20.45,141.275
Algeria,1992,20.175,215.95
Algeria,1993,20.875,150.95
Algeria,1994,21.0,184.6
Algeria,1995,21.1,160.425
Algeria,1996,21.125,233.2
Algeria,1997,21.299999999999997,272.1166666666667
Algeria,1998,21.175,163.825
Algeria,2004,,341.78095238095244
Algeria,2005,19.044444444444444,266.2869565217391
Algeria,2006,19.44,276.5541666666667
Algeria,2007,18.985714285714288,338.21463414634144
Algeria,2008,20.085714285714285,283.84999999999997
Algeria,2009,19.15,370.9037037037038
Algeria,2010,20.399999999999995,313.4448979591837
Algeria,2011,19.14615384615385,350.91698113207536
Algeria,2012,19.35,286.06734693877553
Algeria,2013,17.24285714285714,378.6744186046512
Algeria,2014,17.016666666666666,315.91219512195124
Algeria,2015,17.857142857142858,306.8439024390244
Azerbaijan,1961,14.9,346.97027027027025
Azerbaijan,1962,14.9,477.23499999999996
Azerbaijan,1963,14.1,690.7263157894738
Azerbaijan,1964,13.2,395.9216216216215
Azerbaijan,1965,13.5,477.3177777777776
Azerbaijan,1966,15.5,500.3714285714286
Azerbaijan,1967,13.4,500.39090909090913
Azerbaijan,1968,,423.1285714285715
Azerbaijan,1969,12.5,584.5692307692309
Azerbaijan,1970,14.9,371.2035714285715
Azerbaijan,1971,14.9,317.8212121212121
Azerbaijan,1972,13.2,558.3611111111112
Azerbaijan,1973,14.0,483.12702702702694
Azerbaijan,1974,,492.85749999999996
Azerbaijan,1975,14.4,426.25641025641045
Azerbaijan,1976,13.4,466.94374999999997
Azerbaijan,1977,13.8,500.1574074074074
Azerbaijan,1978,13.7,694.7666666666668
Azerbaijan,1979,14.6,469.54912280701757
Azerbaijan,1980,13.9,452.80357142857144
Azerbaijan,1981,14.6,590.7859649122805
Azerbaijan,1982,13.3,435.6
Azerbaijan,1983,14.0,313.4
Azerbaijan,1984,13.4,508.459649122807
Azerbaijan,1985,13.6,411.78596491228063
Azerbaijan,1986,14.0,450.78749999999985
Azerbaijan,1987,13.8,477.68545454545455
Azerbaijan,1988,,535.1702702702703
Azerbaijan,1989,15.5,332.22058823529414
Azerbaijan,1990,,435.0696969696971
Azerbaijan,1991,,424.2060606060607
Armenia,1961,5.675000000000001,342.1533333333334
Armenia,1962,6.3500000000000005,457.0193548387096
Armenia,1963,5.800000000000001,772.36
Armenia,1964,6.800000000000001,426.2416666666666
Armenia,1965,7.2,566.7266666666667
Armenia,1966,7.3999999999999995,549.0857142857143
Armenia,1967,4.475,659.7833333333332
Armenia,1968,5.375,590.5771428571429
Armenia,1969,4.925,642.9937499999999
Armenia,1970,6.5249999999999995,468.99047619047616
Armenia,1971,5.4,541.8641025641026
Armenia,1972,3.975,612.3459459459459
Armenia,1973,4.275,511.8878048780488
Armenia,1974,4.5,544.1026315789474
Armenia,1975,5.175000000000001,534.5275
Armenia,1976,5.0,609.4977777777779
Armenia,1977,4.733333333333333,382.95
Armenia,1978,5.525,532.9666666666667
Armenia,1979,6.775,406.0
Armenia,1980,5.8,319.90000000000003
Armenia,1981,6.15,363.3
Armenia,1982,4.1499999999999995,435.0
Armenia,1983,4.9,396.5666666666666
Armenia,1984,5.45,484.20212765957456
Armenia,1985,5.325,463.5166666666669
Armenia,1986,5.775,588.4104166666667
Armenia,1987,5.675,604.4125
Armenia,1988,4.6,685.2777777777778
Armenia,1989,5.8,445.02571428571446
Armenia,1990,5.625,472.5083333333333
Armenia,1991,5.775,517.1906250000001
Armenia,1992,2.95,353.9
Armenia,1993,3.766666666666667,457.65000000000003
Armenia,1994,8.65,476.0
Armenia,1995,1.95,444.4
Armenia,1996,9.6,364.35
Armenia,1997,8.85,374.0
Armenia,1998,13.6,279.9
Armenia,1999,6.4,475.4
Armenia,2000,9.399999999999999,286.0
Armenia,2001,6.4,
Armenia,2002,5.4,
Armenia,2003,9.0,470.8
Armenia,2004,9.3,284.06666666666666
Armenia,2014,,4637.7
Armenia,2015,,1523.7
Armenia,2016,,1271.425
Argentina,1961,15.34,1128.7
Argentina,1962,16.31,871.1
Argentina,1963,16.141176470588235,1201.0
Argentina,1964,15.390476190476189,
Argentina,1965,16.361904761904764,873.2
Argentina,1966,16.32857142857143,1091.9
Argentina,1967,16.85555555555556,1294.0
Argentina,1968,16.58095238095238,1009.8
Argentina,1969,17.041666666666668,1496.2
Argentina,1970,17.1047619047619,915.4
Argentina,1971,16.30454545454545,990.2
Argentina,1972,17.031818181818178,1866.4
Argentina,1973,16.16190476190476,1213.0
Argentina,1974,16.718181818181815,800.0
Argentina,1975,16.94761904761905,1020.8
Argentina,1976,15.975000000000001,1188.2
Argentina,1977,16.80434782608696,1256.2666666666667
Argentina,1978,17.099999999999998,1028.1
Argentina,1979,16.799999999999997,935.5125
Argentina,1980,17.03684210526316,1009.2874999999998
Argentina,1981,17.000000000000004,837.923076923077
Argentina,1982,17.355555555555554,1193.8117647058823
Argentina,1983,16.178947368421053,1397.8
Argentina,1984,16.520000000000003,1397.7055555555555
Argentina,1985,17.121052631578948,1271.9533333333334
Argentina,1986,16.98,1773.8529411764705
Argentina,1987,16.740909090909096,1250.7833333333333
Argentina,1988,16.499999999999993,1069.8666666666668
Argentina,1989,16.95,948.80625
Argentina,1990,17.080000000000005,1763.81875
Argentina,1991,16.594444444444445,1338.9399999999998
Argentina,1992,15.810526315789476,1407.8400000000001
Argentina,1993,16.515789473684208,1512.486666666667
Argentina,1994,16.666666666666668,1290.8687499999999
Argentina,1995,16.95625,1021.35
Argentina,1996,16.326315789473682,1160.7133333333334
Argentina,1997,16.576190476190476,1530.0333333333335
Argentina,1998,17.099999999999998,1840.6066666666666
Argentina,1999,16.495454545454546,898.6666666666666
Argentina,2000,15.956521739130435,
Argentina,2001,16.76666666666667,
Argentina,2002,16.131578947368425,
Argentina,2003,16.5,1158.8799999999999
Argentina,2004,,894.7166666666666
Australia,1961,18.29878048780489,647.5771716826263
Australia,1962,17.863028169014086,706.0040957357156
Australia,1963,17.902097902097907,814.3618447246184
Australia,1964,17.3750830564784,715.3567779960724
Australia,1965,17.742819843342048,552.574351585015
Australia,1966,17.22105263157895,625.9996034263952
Australia,1967,17.527202072538866,622.211192368838
Australia,1968,17.210650887573976,717.8914396887142
Australia,1969,17.46907216494845,664.2312088569728
Australia,1970,17.609217877094984,718.4401375803786
Australia,1971,17.3298901098901,784.2999401824444
Australia,1972,17.623866348448693,635.5454504232176
Australia,1973,17.914976958525347,889.5180898542105
Australia,1974,17.252078239608796,962.1805752076297
Australia,1975,17.610487804878055,797.3413274890418
Australia,1976,17.1627403846154,752.1773819119762
Australia,1977,17.757788944723615,630.9707404980346
Australia,1978,17.516870415647904,797.9900731626216
Australia,1979,18.001243781094534,620.5128002632474
Australia,1980,18.14010282776349,583.8812725709364
Australia,1981,18.164102564102574,755.9312896759093
Australia,1982,18.000496277915637,509.6990938076866
Australia,1983,18.199483204134385,789.9587841232601
Australia,1984,17.39266503667484,749.1262817237255
Australia,1985,17.83711340206187,664.9461768851293
Australia,1986,17.691731266149876,613.4476223533511
Australia,1987,17.972051282051282,645.0747140594759
Australia,1988,18.687373737373736,780.4025902107893
Australia,1989,17.918882978723403,781.9602727435853
Australia,1990,18.219999999999978,735.8743017772917
Australia,1991,18.042469135802488,665.7626632801164
Australia,1992,17.476249999999997,731.8050565899961
Australia,1993,18.106398104265388,633.897177344477
Australia,1994,18.05050000000001,496.62363429438636
Australia,1995,17.932311320754714,713.9997210859038
Australia,1996,17.930892448512573,739.8908438738911
Australia,1997,18.099346405228783,637.5176082862504
Australia,1998,18.54604966139955,751.1704871639369
Australia,1999,18.272483221476506,784.796867749418
Australia,2000,18.037448559670786,759.1892937219715
Australia,2001,18.277539062500008,653.1411851851859
Australia,2002,18.716506717850308,481.7909619351204
Australia,2003,18.41888888888888,651.4643243243246
Australia,2004,18.38772563176897,681.1534558682756
Australia,2005,18.575622775800696,647.44151631867
Australia,2006,17.991320072332726,549.2869555843034
Australia,2007,18.265831842576073,714.0515130515137
Australia,2008,17.7276408450704,721.8775773195861
Australia,2009,18.601232394366228,723.889733643652
Australia,2010,18.099103942652324,997.9151710781159
Australia,2011,17.89351145038171,902.2496626180804
Australia,2012,17.875,756.0930986406411
Australia,2013,18.714102564102557,768.6963205487982
Australia,2014,18.84128787878788,673.8672752325167
Australia,2015,18.483967935871725,698.4998287084633
Australia,2016,18.581567796610166,811.3879781420759
Austria,1961,7.416666666666667,958.7666666666668
Austria,1962,5.616666666666667,1106.8833333333334
Austria,1963,5.866666666666667,887.8666666666667
Austria,1964,6.433333333333333,1049.25
Austria,1965,5.883333333333333,1177.6166666666666
Austria,1966,7.033333333333334,1290.2500000000002
Austria,1967,7.099999999999999,952.9499999999999
Austria,1968,6.633333333333333,972.7333333333335
Austria,1969,6.3500000000000005,899.7666666666665
Austria,1970,6.283333333333334,1145.9166666666667
Austria,1971,6.866666666666667,781.8333333333334
Austria,1972,6.583333333333333,958.6166666666667
Austria,1973,6.666666666666667,943.7142857142857
Austria,1974,7.316666666666666,1015.5857142857142
Austria,1975,7.349999999999999,1057.7
Austria,1976,6.850000000000001,1042.3333333333333
Austria,1977,7.45,1020.6999999999999
Austria,1978,6.3500000000000005,980.0
Austria,1979,6.916666666666665,1162.6666666666667
Austria,1980,6.216666666666666,1075.42
Austria,1981,6.966666666666668,1114.6111111111109
Austria,1982,7.383333333333333,948.9333333333333
Austria,1983,7.683333333333333,876.5666666666666
Austria,1984,6.583333333333333,895.9833333333332
Austria,1985,6.5,1022.1833333333334
Austria,1986,6.966666666666666,895.9499999999999
Austria,1987,6.8,1140.6833333333332
Austria,1988,7.666666666666667,1083.8833333333334
Austria,1989,8.0,967.9000000000001
Austria,1990,7.983333333333334,1007.8499999999999
Austria,1991,7.0,1042.5666666666666
Austria,1992,8.283333333333333,973.1333333333333
Austria,1993,7.566666666666666,1011.9833333333332
Austria,1994,8.9,1000.4666666666667
Austria,1995,7.6000000000000005,1128.0166666666667
Austria,1996,6.466666666666666,1093.2333333333333
Austria,1997,7.55,1066.9666666666665
Austria,1998,7.933333333333334,1086.0666666666668
Austria,1999,7.883333333333333,1145.1000000000001
Austria,2000,8.733333333333334,1156.0
Austria,2001,7.800000000000001,1071.7
Austria,2002,8.566666666666668,
Austria,2003,8.083333333333334,
Austria,2004,7.466666666666666,
Austria,2005,7.0666666666666655,1070.6666666666667
Austria,2006,7.783333333333334,995.0666666666667
Austria,2007,8.533333333333333,1136.0833333333333
Austria,2008,8.3,1089.2
Austria,2009,8.116666666666667,1245.5666666666666
Austria,2010,7.166666666666667,932.64
Austria,2012,,1127.1333333333332
Austria,2013,,901.4
Austria,2014,,862.55
Austria,2015,,695.4000000000001
Austria,2016,,1095.25
Antarctica,1961,-23.3,110.66666666666667
Antarctica,1962,-22.875,86.10000000000001
Antarctica,1963,-19.2,116.03333333333332
Antarctica,1964,-22.82,116.36666666666667
Antarctica,1965,-26.53333333333333,11.7
Antarctica,1966,-28.619999999999997,8.0
Antarctica,1967,-28.580000000000002,11.266666666666666
Antarctica,1968,-39.25,11.566666666666668
Antarctica,1969,-4.0,
Antarctica,1970,-26.45,
Antarctica,1971,-19.099999999999998,11.2
Antarctica,1972,-20.133333333333333,7.5
Antarctica,1973,-20.3,0.0
Antarctica,1974,-27.1,0.0
Antarctica,1975,-27.95,30.5
Antarctica,1976,-19.366666666666664,0.0
Antarctica,1977,-18.8,0.0
Antarctica,1978,-18.833333333333332,0.0
Antarctica,1979,-26.45,85.05
Antarctica,1980,-21.35,73.8
Antarctica,1981,-26.25,0.0
Antarctica,1982,-20.375,185.65
Antarctica,1983,-19.6,0.0
Antarctica,1984,-26.0,0.0
Antarctica,1985,-18.533333333333335,0.0
Antarctica,1986,-26.3,0.0
Antarctica,1987,-27.2,0.0
Antarctica,1988,-19.166666666666668,0.0
Antarctica,1989,-25.7,0.0
Antarctica,1990,-25.8,0.0
Antarctica,1991,-26.599999999999998,0.0
Antarctica,1992,-4.45,0.0
Antarctica,1993,-18.9,0.0
Antarctica,1994,-3.5,
Antarctica,1995,,0.0
Antarctica,1997,-4.6,
Antarctica,1998,-3.0999999999999996,
Antarctica,1999,-2.25,
Antarctica,2000,-2.9,
Antarctica,2001,-3.1,
Antarctica,2002,-4.25,
Antarctica,2003,-3.75,
Antarctica,2012,,465.7
Antarctica,2013,,183.1
Antarctica,2014,,426.85
Antarctica,2015,-16.2,645.5
Botswana,1961,20.9,461.66315789473674
Botswana,1962,21.0,323.521052631579
Botswana,1963,20.450000000000003,436.83888888888885
Botswana,1964,20.400000000000002,254.45555555555555
Botswana,1965,21.825000000000003,216.22499999999997
Botswana,1966,21.72,428.89
Botswana,1967,20.724999999999998,596.5157894736841
Botswana,1968,20.840000000000003,443.34736842105264
Botswana,1969,21.25,415.2526315789475
Botswana,1970,21.75,316.55789473684206
Botswana,1971,20.450000000000003,447.8555555555555
Botswana,1972,20.9,447.3421052631579
Botswana,1973,21.22,490.19444444444457
Botswana,1974,20.575000000000003,669.4888888888887
Botswana,1975,20.733333333333334,586.9166666666665
Botswana,1976,20.433333333333334,642.0
Botswana,1977,20.36666666666667,604.1352941176472
Botswana,1978,20.099999999999998,529.9941176470588
Botswana,1979,20.65,360.63888888888886
Botswana,1980,20.549999999999997,451.57777777777784
Botswana,1981,20.3,490.43
Botswana,1982,21.775,343.96000000000004
Botswana,1983,22.75,341.765
Botswana,1984,22.1,273.26000000000005
Botswana,1985,21.733333333333334,296.34
Botswana,1986,21.5,405.15263157894736
Botswana,1987,22.0,365.5235294117647
Botswana,1988,21.65,559.9176470588235
Botswana,1989,,530.3888888888889
Botswana,1990,,338.70000000000005
Botswana,1991,,514.290909090909
Botswana,1992,,284.19
Botswana,1993,,182.1
Botswana,1995,,168.0
Botswana,1996,,194.7
Bermuda,1961,21.8,1387.7
Bermuda,1962,21.8,1916.3
Bermuda,1963,21.4,1773.8
Bermuda,1964,21.3,1312.6
Bermuda,1965,21.2,1157.9
Bermuda,1966,21.4,1489.3
Bermuda,1967,21.4,1333.1
Bermuda,1971,21.9,1341.4
Bermuda,1972,22.0,1489.8
Bermuda,1973,21.6,1423.7
Bermuda,1974,22.9,1271.3
Bermuda,1975,23.0,944.5
Bermuda,1976,22.8,1218.7
Bermuda,1977,22.3,1567.3
Bermuda,1978,22.5,1393.3
Bermuda,1979,22.8,1140.3
Bermuda,1980,22.2,1545.0
Bermuda,1981,21.4,1397.8
Bermuda,1982,23.0,1367.9
Bermuda,1983,22.6,1897.8
Bermuda,1984,22.4,1581.9
Bermuda,1985,22.3,1608.8
Bermuda,1986,22.4,1769.7
Bermuda,1987,22.1,1423.7
Bermuda,1988,23.3,1710.2
Bermuda,1989,23.7,1302.6
Bermuda,1990,23.1,1108.1
Bermuda,1991,23.2,1160.6
Bermuda,1992,22.9,1454.3
Bermuda,1993,23.2,1532.1
Bermuda,1994,23.7,1644.2
Bermuda,1995,,1383.3
Bermuda,1996,,1412.5
Bermuda,1998,,1455.0
Bermuda,2006,,1484.9
Bermuda,2007,,1429.2
Bermuda,2008,,1458.3
Bermuda,2009,,1385.1
Bermuda,2010,,1124.4
Bermuda,2011,,985.0
Bermuda,2012,,1298.5
Bermuda,2013,,1550.1
Bermuda,2014,,1728.7
Bermuda,2015,,1417.1
Belgium,1961,10.9,903.4
Belgium,1962,9.0,861.9
Belgium,1963,8.7,712.7
Belgium,1964,10.1,785.7
Belgium,1965,9.7,1073.9
Belgium,1966,10.5,1055.6
Belgium,1967,10.5,707.4
Belgium,1968,9.9,776.6
Belgium,1969,10.1,776.5
Belgium,1970,10.1,727.3
Belgium,1971,10.3,691.7
Belgium,1972,9.9,714.3
Belgium,1973,10.1,693.8
Belgium,1974,10.4,1039.6
Belgium,1975,10.4,734.3
Belgium,1976,10.8,541.0
Belgium,1977,10.3,855.9
Belgium,1978,9.6,767.7
Belgium,1979,9.4,837.9
Belgium,1980,9.6,915.8
Belgium,1981,9.9,1016.2
Belgium,1982,10.8,799.6
Belgium,1983,10.7,699.2
Belgium,1984,10.0,930.8
Belgium,1985,9.2,758.1
Belgium,1986,9.6,946.3
Belgium,1987,9.3,908.4
Belgium,1988,10.7,1004.6
Belgium,1989,11.3,639.5
Belgium,1990,11.2,759.6
Belgium,1991,10.0,793.8
Belgium,1992,10.6,916.5
Belgium,1993,10.1,856.7
Belgium,1994,11.1,895.2
Belgium,1995,11.0,763.3
Belgium,1996,9.1,744.6
Belgium,1997,10.8,700.7
Belgium,1998,10.6,948.0
Belgium,1999,11.1,886.0
Belgium,2007,,715.7
Belgium,2008,,706.9
Belgium,2009,,889.9
Belgium,2010,,894.5
Belgium,2011,,744.2
Belgium,2012,,909.6
Belgium,2013,,775.5
Belgium,2014,,745.2
The Bahamas,1961,24.9,1210.75
The Bahamas,1962,24.6,897.7
The Bahamas,1963,,1285.6
The Bahamas,1964,,1472.9
The Bahamas,1965,24.7,1269.6
The Bahamas,1966,24.5,2136.2
The Bahamas,1967,24.7,1240.1
The Bahamas,1969,24.6,
The Bahamas,1971,24.4,
The Bahamas,1972,24.8,
The Bahamas,1973,24.3,
The Bahamas,1974,24.3,
The Bahamas,1975,24.6,
The Bahamas,1976,24.1,
The Bahamas,1977,24.3,
The Bahamas,1978,24.3,528.1
The Bahamas,1979,,733.1
The Bahamas,1980,24.1,
The Bahamas,1981,23.5,436.0
The Bahamas,1982,24.4,
The Bahamas,1983,24.6,
The Bahamas,1984,24.2,
The Bahamas,1986,24.7,
The Bahamas,1987,24.8,
The Bahamas,1988,25.0,
The Bahamas,1989,25.4,
The Bahamas,1990,25.7,
The Bahamas,1991,25.6,
The Bahamas,1992,24.9,
The Bahamas,1993,25.1,
The Bahamas,1994,25.6,
The Bahamas,1995,25.4,
The Bahamas,1996,24.9,
The Bahamas,1997,25.6,1765.3
The Bahamas,1998,25.9,
The Bahamas,1999,25.3,
The Bahamas,2000,25.0,
The Bahamas,2004,25.2,
The Bahamas,2005,25.6,
The Bahamas,2006,25.4,
Bosnia & Herzegovina,1961,6.199999999999999,724.4
Bosnia & Herzegovina,1962,5.25,988.0
Bosnia & Herzegovina,1963,5.699999999999999,1110.4
Bosnia & Herzegovina,1964,5.25,1013.3
Bosnia & Herzegovina,1965,5.0,943.3
Bosnia & Herzegovina,1966,5.8500000000000005,1038.8
Bosnia & Herzegovina,1967,5.5,863.1
Bosnia & Herzegovina,1968,5.65,1053.2
Bosnia & Herzegovina,1969,5.35,1071.7
Bosnia & Herzegovina,1970,5.2,1033.9
Bosnia & Herzegovina,1971,5.3,786.7
Bosnia & Herzegovina,1972,10.1,843.4
Bosnia & Herzegovina,1973,5.1499999999999995,802.9
Bosnia & Herzegovina,1974,5.45,1024.8
Bosnia & Herzegovina,1975,5.65,844.6
Bosnia & Herzegovina,1976,4.8999999999999995,1006.1
Bosnia & Herzegovina,1977,6.35,1099.4
Bosnia & Herzegovina,1978,5.0,1169.6
Bosnia & Herzegovina,1979,6.0,947.1
Bosnia & Herzegovina,1980,5.0,1002.9
Bosnia & Herzegovina,1981,5.45,929.9
Bosnia & Herzegovina,1982,6.35,625.0
Bosnia & Herzegovina,1983,5.75,795.4
Bosnia & Herzegovina,1984,5.25,888.1
Bosnia & Herzegovina,1985,5.65,860.0
Bosnia & Herzegovina,1986,5.9,917.4
Bosnia & Herzegovina,1987,5.800000000000001,964.3
Bosnia & Herzegovina,1988,5.8500000000000005,881.4
Bosnia & Herzegovina,1989,5.8999999999999995,1101.5
Bosnia & Herzegovina,1990,6.6,631.9
Bosnia & Herzegovina,1991,5.05,1053.0
Bosnia & Herzegovina,1992,10.8,778.5
Bosnia & Herzegovina,1993,10.6,787.4
Bosnia & Herzegovina,1994,11.6,824.1
Bosnia & Herzegovina,1995,10.1,1091.1
Bosnia & Herzegovina,1996,9.8,1068.1
Bosnia & Herzegovina,1997,9.9,849.0
Bosnia & Herzegovina,1998,10.3,899.3
Bosnia & Herzegovina,1999,10.6,1248.9
Bosnia & Herzegovina,2000,7.0,721.1
Bosnia & Herzegovina,2001,6.1,1141.9
Bosnia & Herzegovina,2002,6.9,967.1
Bosnia & Herzegovina,2003,6.1499999999999995,791.0
Bosnia & Herzegovina,2004,6.05,1047.5
Bosnia & Herzegovina,2005,5.199999999999999,1152.5
Bosnia & Herzegovina,2006,10.5,960.9
Bosnia & Herzegovina,2007,11.7,1048.4
Bosnia & Herzegovina,2008,11.9,1077.875
Bosnia & Herzegovina,2009,11.5,1403.75
Bosnia & Herzegovina,2010,11.2,1611.5400000000002
Bosnia & Herzegovina,2011,11.2,662.6333333333333
Bosnia & Herzegovina,2012,11.6,1154.7
Bosnia & Herzegovina,2013,11.8,1377.925
Bosnia & Herzegovina,2014,12.4,1350.6
Bosnia & Herzegovina,2015,11.4,766.3
Bosnia & Herzegovina,2016,11.6,1008.1
Bolivia,1976,,1693.2
Bolivia,1977,,1632.1
Bolivia,1978,,1871.9
Bolivia,1979,,1477.6
Bolivia,1980,,1484.2
Bolivia,1981,,1091.825
Bolivia,1984,,1941.0
Bolivia,1985,,1815.5
Bolivia,1986,,1816.7
Bolivia,1987,,1471.9
Bolivia,1988,,1022.25
Bolivia,1989,,1622.7
Bolivia,1991,,762.1333333333333
Bolivia,1992,,1360.2
Bolivia,1994,,289.3
Bolivia,1995,,416.5
Bolivia,1996,,731.75
Bolivia,1997,,494.9
Bolivia,2003,,422.9
Bolivia,2009,26.450000000000003,
Bolivia,2010,17.15,
Bolivia,2012,26.46666666666667,
Myanmar,1961,25.9,1453.9
Myanmar,1962,26.2,835.7
Myanmar,1964,26.0,1365.1
Myanmar,1965,26.0,1334.7
Myanmar,1966,26.9,1188.5
Myanmar,1967,,1388.8
Myanmar,1968,26.3,1214.8
Myanmar,1969,26.4,1363.8
Myanmar,1970,26.4,1267.3
Myanmar,1971,25.8,1438.7
Myanmar,1972,26.6,1427.4
Myanmar,1973,26.6,1718.0
Myanmar,1974,26.2,1210.1
Myanmar,1975,26.6,1323.6
Myanmar,1976,26.2,1167.3
Myanmar,1977,26.2,1655.9
Myanmar,1978,26.4,1200.9
Myanmar,1979,,850.2
Myanmar,1980,,1102.8
Myanmar,1981,,1342.2
Myanmar,1982,,1025.3
Myanmar,1983,,1097.1
Myanmar,1984,,1407.4
Myanmar,1985,,1342.5
Myanmar,1987,,1111.4
Myanmar,1988,,1284.4
Myanmar,1989,,1271.6
Myanmar,1990,,1323.6
Myanmar,1991,,1278.3
Myanmar,1992,,1235.0
Myanmar,1993,,1377.9
Myanmar,1994,,3597.1
Myanmar,1995,,1375.3
Myanmar,1996,,1272.6
Myanmar,1997,,1086.4
Myanmar,2003,,1131.3
Myanmar,2004,,1264.1
Benin,1961,26.68,1062.9
Benin,1962,26.68,1623.8200000000002
Benin,1963,27.080000000000002,1726.4800000000002
Benin,1964,26.740000000000002,1166.1
Benin,1965,26.849999999999998,1158.0500000000002
Benin,1967,26.875,1299.875
Benin,1968,27.05,1675.175
Benin,1969,27.4,1193.625
Benin,1970,27.340000000000003,1028.34
Benin,1971,27.0,1114.6200000000001
Benin,1972,27.24,1093.6799999999998
Benin,1973,27.85,970.25
Benin,1974,27.075,1202.78
Benin,1975,26.82,1209.8400000000001
Benin,1976,26.76,976.9399999999999
Benin,1977,27.3,806.82
Benin,1978,26.96,1261.8400000000001
Benin,1979,27.550000000000004,1355.8
Benin,1980,27.3,1042.9250000000002
Benin,2011,28.25,
Benin,2012,27.5,
Benin,2013,27.7,
Belarus,1961,7.5,486.4918918918917
Belarus,1962,6.3999999999999995,678.1615384615384
Belarus,1963,5.8,489.71842105263136
Belarus,1964,6.400000000000001,535.1674999999998
Belarus,1965,5.599999999999999,542.5914285714285
Belarus,1966,7.333333333333333,688.2309523809523
Belarus,1967,7.366666666666667,662.7102564102563
Belarus,1968,6.366666666666667,606.1256410256409
Belarus,1969,5.0,631.8666666666667
Belarus,1970,6.333333333333333,776.4083333333333
Belarus,1971,7.0,566.3500000000001
Belarus,1972,7.3,585.4772727272727
Belarus,1973,6.800000000000001,632.2622222222224
Belarus,1974,7.333333333333333,680.964
Belarus,1975,8.533333333333333,540.7428571428571
Belarus,1976,5.633333333333333,510.9380952380951
Belarus,1977,6.833333333333333,697.5052631578947
Belarus,1978,5.8999999999999995,656.2388888888888
Belarus,1979,6.533333333333334,600.5421052631581
Belarus,1980,5.733333333333333,724.26
Belarus,1981,7.8,639.8153846153845
Belarus,1982,7.85,577.55
Belarus,1983,8.55,559.675
Belarus,1984,7.0,586.984
Belarus,1985,5.433333333333334,667.95
Belarus,1986,6.766666666666667,561.325
Belarus,1987,5.266666666666667,616.2851063829788
Belarus,1988,7.166666666666667,667.1297872340426
Belarus,1989,8.833333333333334,670.295744680851
Belarus,1990,8.6,729.4617021276592
Belarus,1991,7.633333333333333,548.6777777777778
Belarus,1992,7.8999999999999995,589.8022727272727
Belarus,1993,6.833333333333333,675.0777777777778
Belarus,1994,7.3,630.3088888888889
Belarus,1995,7.7,604.788888888889
Belarus,1996,6.3,587.7288888888887
Belarus,1997,7.066666666666666,665.1844444444445
